doujinshiId,doujinshiName,themeAlias,coverPicUrl,tag,type,sellStatus,sellStatusCode,eventList,userID,nickname,circleID,circleName,authorList,hotCount
824194,【官方寄售】墨清弦五周年《爱与我》明信片套组,vocaloid,/2024/3/3272d928-1d1a-4545-99d9-12c13d5641a0.png,vocaloid|vsinger|墨清弦,海报集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 2664547, 'authorName': '毛绒母鸡（代理墨站版）'}]",6
820186,真相是假-曲绘图册,vsinger,/2024/3/d0e76837-8961-4754-b6bd-c0a27d82609c.jpeg,vsinger|乐正绫|洛天依|南北组,图集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 677024, 'circleName': '沙雕教左右护法', 'positionName': '沙雕教左右护法', 'position': ''}]",1665081,星葵,677024,沙雕教左右护法,"[{'authorId': 1665081, 'authorName': '星葵'}]",63
808660,南北线,vsinger,/2024/3/63404646-fa3f-4c9e-94c0-3ff7e3c91463.png,vsinger,图文合志,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 400297, 'circleName': '新用户3af12的社团', 'positionName': '', 'position': ''}]",1388164,落红庚辰,400297,新用户3af12的社团,"[{'authorId': 1388164, 'authorName': '落红庚辰'}]",7
747139,【零星】拍立得合集,vocaloid,/2024/3/8c68c03a-b2c8-4122-ad47-d75f8f894bb3.png,vocaloid|vsinger|乐正绫,海报集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 103914, 'circleName': 'Jungle社', 'positionName': '烤红薯社', 'position': ''}]",1088254,素豺,103914,Jungle社,"[{'authorId': 1088254, 'authorName': '素豺'}]",61
704618,洛天依9th生贺Callbook,VOCALOID,/2023/10/3c3f4040-70a4-46fe-bb8c-cb519a05b11a.png,VOCALOID|Vsinger|洛天依,其他作品集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 28632, 'circleName': '烟火Project', 'positionName': '缘宵社', 'position': ''}]",1012665,ssYanhuo,28632,烟火Project,"[{'authorId': 1012665, 'authorName': 'ssYanhuo'}]",38
691933,再会,VOCALOID,/2023/10/a0b3aa0d-c8f7-4433-acad-3bd3805cc5ae.png,VOCALOID|Vsinger|初音未来|洛天依,其他作品集,仅供现场,4,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 28632, 'circleName': '烟火Project', 'positionName': '缘宵社', 'position': ''}]",1087031,GreyBK,102697,我TM贴爆,"[{'authorId': 1012665, 'authorName': 'ssYanhuo'}, {'authorId': 1087031, 'authorName': 'GreyBK'}, {'authorId': 1589030, 'authorName': '狗毛'}]",24
660280,我放走了那天的流星 明信片吧唧立牌透卡,原创,/2024/1/96c5239e-2ff5-4660-87d4-91c95658a0eb.jpeg,原创|我的流星|不鱼|oc,图集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",2570392,不鱼,1686396,流星空间站,"[{'authorId': 2570392, 'authorName': '不鱼'}]",130
660213,流星空间站 明信片集,原创,/2024/1/b59c18ef-cb50-4981-8b59-0db45e8c8ec6.jpeg,原创|流星空间站|音乐社团,图集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",2570392,不鱼,1686396,流星空间站,"[{'authorId': 2570392, 'authorName': '不鱼'}]",93
660189,《沉林川的贤狼记忆》明信片集吧唧,诗岸,/2024/8/697ac336-2480-4817-9930-4ab2c39bf74e.jpeg,诗岸|洛天依|星尘|沉林川,图集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",2570392,不鱼,1686396,流星空间站,"[{'authorId': 2549548, 'authorName': '沉林川'}, {'authorId': 2570392, 'authorName': '不鱼'}]",89
660163,青言青语2021 明信片合集/附硬盘挂坠,青色,/2023/10/ce419ad4-915e-4ab3-b324-a52979fd90a6.jpeg,青色|诗岸|洛天依|曲绘,图集,余量发放,0,"[{'eventID': 2440, 'eventMainId': 2231, 'eventName': '上海中文VOCALOID·清明落雨ONLY', 'circleId': 1398224, 'circleName': '卧室四格', 'positionName': '卧室四格昏睡驿站', 'position': ''}]",2570392,不鱼,1686396,流星空间站,[],29
